Year Mon Day DOY hour Heit(km) Lat  Lon Oden(cm-3) N2den(cm-3) O2den(cm-3) air(gm/cm3) T(K) exoT(K) Heden(cm-3)Arden(cm-3) Hden(cm-3) Nden(cm-3) F107 F107a apdaily  ap0-3 ap3-6 ap6-9 ap9-12 ap12-33 ap33-59
2001  1  1   1 12.00    0.0    0.0    0.0  0.000E+00  1.882E+19  5.048E+18 1.158E-03  300.7  1027  1.263E+14  2.251E+17  0.000E+00  0.000E+00  169.5  171.5    2.5    2.0    4.0    4.0    2.0    1.4    3.2
2001  1  1   1 12.00   50.0    0.0    0.0  0.000E+00  1.719E+16  4.612E+15 1.058E-06  267.1  1027  1.154E+11  2.056E+14  0.000E+00  0.000E+00  169.5  171.5    2.5    2.0    4.0    4.0    2.0    1.4    3.2
2001  1  1   1 12.00  100.0    0.0    0.0  6.325E+11  1.266E+13  2.529E+12 7.480E-10  166.8  1027  1.452E+08  1.297E+11  2.186E+07  5.996E+05  169.5  171.5    2.5    2.0    4.0    4.0    2.0    1.4    3.2
2001  1  1   1 12.00  150.0    0.0    0.0  1.731E+10  2.866E+10  1.502E+09 1.876E-12  742.4  1203  1.283E+07  5.220E+07  3.727E+05  2.461E+07  169.5  171.5    2.5    2.0    4.0    4.0    2.0    1.4    3.2
2001  1  1   1 12.00  200.0    0.0    0.0  4.717E+09  3.665E+09  1.170E+08 3.037E-13 1032.3  1203  8.129E+06  3.023E+06  8.839E+04  6.792E+07  169.5  171.5    2.5    2.0    4.0    4.0    2.0    1.4    3.2
2001  1  1   1 12.00  250.0    0.0    0.0  1.914E+09  8.152E+08  2.016E+07 9.085E-14 1138.8  1203  6.253E+06  3.625E+05  6.691E+04  4.219E+07  169.5  171.5    2.5    2.0    4.0    4.0    2.0    1.4    3.2
2001  1  1   1 12.00  300.0    0.0    0.0  8.786E+08  2.142E+08  4.342E+06 3.406E-14 1178.5  1203  5.083E+06  5.420E+04  6.137E+04  2.166E+07  169.5  171.5    2.5    2.0    4.0    4.0    2.0    1.4    3.2
2001  1  1   1 12.00  350.0    0.0    0.0  4.234E+08  6.028E+07  1.018E+06 1.439E-14 1193.5  1203  4.215E+06  8.888E+03  5.810E+04  1.132E+07  169.5  171.5    2.5    2.0    4.0    4.0    2.0    1.4    3.2
2001  1  1   1 12.00  400.0    0.0    0.0  2.091E+08  1.760E+07  2.493E+05 6.548E-15 1199.3  1203  3.527E+06  1.532E+03  5.545E+04  6.071E+06  169.5  171.5    2.5    2.0    4.0    4.0    2.0    1.4    3.2
2001  1  1   1 12.00  450.0    0.0    0.0  1.048E+08  5.265E+06  6.278E+04 3.129E-15 1201.5  1203  2.966E+06  2.735E+02  5.305E+04  3.311E+06  169.5  171.5    2.5    2.0    4.0    4.0    2.0    1.4    3.2
2001  1  1   1 12.00  500.0    0.0    0.0  5.320E+07  1.608E+06  1.618E+04 1.548E-15 1202.4  1203  2.503E+06  5.024E+01  5.083E+04  1.827E+06  169.5  171.5    2.5    2.0    4.0    4.0    2.0    1.4    3.2
2001  1  1   1 12.00  550.0    0.0    0.0  2.729E+07  4.998E+05  4.258E+03 7.861E-16 1202.8  1203  2.118E+06  9.469E+00  4.874E+04  1.019E+06  169.5  171.5    2.5    2.0    4.0    4.0    2.0    1.4    3.2
2001  1  1   1 12.00  600.0    0.0    0.0  1.414E+07  1.581E+05  1.143E+03 4.083E-16 1202.9  1203  1.797E+06  1.829E+00  4.677E+04  5.729E+05  169.5  171.5    2.5    2.0    4.0    4.0    2.0    1.4    3.2
2001  1  1   1 12.00  650.0    0.0    0.0  7.393E+06  5.086E+04  3.126E+02 2.166E-16 1203.0  1203  1.528E+06  3.619E-01  4.492E+04  3.249E+05  169.5  171.5    2.5    2.0    4.0    4.0    2.0    1.4    3.2
2001  1  1   1 12.00  700.0    0.0    0.0  3.902E+06  1.663E+04  8.711E+01 1.175E-16 1203.0  1203  1.302E+06  7.326E-02  4.316E+04  1.858E+05  169.5  171.5    2.5    2.0    4.0    4.0    2.0    1.4    3.2
2001  1  1   1 12.00  750.0    0.0    0.0  2.079E+06  5.522E+03  2.471E+01 6.547E-17 1203.0  1203  1.112E+06  1.517E-02  4.149E+04  1.071E+05  169.5  171.5    2.5    2.0    4.0    4.0    2.0    1.4    3.2
2001  1  1   1 12.00  800.0    0.0    0.0  1.117E+06  1.862E+03  7.137E+00 3.764E-17 1203.0  1203  9.525E+05  3.211E-03  3.991E+04  6.217E+04  169.5  171.5    2.5    2.0    4.0    4.0    2.0    1.4    3.2
2001  1  1   1 12.00  850.0    0.0    0.0  6.055E+05  6.378E+02  2.097E+00 2.249E-17 1203.0  1203  8.173E+05  6.947E-04  3.841E+04  3.638E+04  169.5  171.5    2.5    2.0    4.0    4.0    2.0    1.4    3.2
2001  1  1   1 12.00  900.0    0.0    0.0  3.310E+05  2.216E+02  6.267E-01 1.406E-17 1203.0  1203  7.027E+05  1.535E-04  3.699E+04  2.145E+04  169.5  171.5    2.5    2.0    4.0    4.0    2.0    1.4    3.2
2001  1  1   1 12.00  950.0    0.0    0.0  1.824E+05  7.816E+01  1.904E-01 9.255E-18 1203.0  1203  6.055E+05  3.462E-05  3.564E+04  1.274E+04  169.5  171.5    2.5    2.0    4.0    4.0    2.0    1.4    3.2
2001  1  1   1 12.00 1000.0    0.0    0.0  1.014E+05  2.795E+01  5.880E-02 6.424E-18 1203.0  1203  5.228E+05  7.971E-06  3.435E+04  7.617E+03  169.5  171.5    2.5    2.0    4.0    4.0    2.0    1.4    3.2
